"ID","BulletinID","KBID","IsInstalled","Severity","SeverityText","Title","InformationURL","CVEIDs","Categories"
"MS16-142","MS16-142","3197867","False","4","Critical","November; 2016 Security Only Quality Update for Windows 7 for x64-based Systems (KB3197867)","http://support.microsoft.com/kb/3197867","","Security Updates Windows 7"
"MS16-120","MS16-120","3192391","False","4","Critical","October; 2016 Security Only Quality Update for Windows 7 for x64-based Systems (KB3192391)","http://support.microsoft.com/kb/3192391","","Security Updates Windows 7"
"MS17-008","MS17-008","4012212","False","4","Critical","March; 2017 Security Only Quality Update for Windows 7 for x64-based Systems (KB4012212)","http://support.microsoft.com/kb/4012212","","Security Updates Windows 7"
"MS16-144","MS16-144","3205394","False","4","Critical","December; 2016 Security Only Quality Update for Windows 7 for x64-based Systems (KB3205394)","http://support.microsoft.com/kb/3205394","","Security Updates Windows 7"
"MS16-077","MS16-077","3161949","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3161949)","http://support.microsoft.com/kb/3161949","","Security Updates Windows 7"
"MS16-059","MS16-059","3150220","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3150220)","http://support.microsoft.com/kb/3150220","","Security Updates Windows 7"
"MS16-055","MS16-055","3156016","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3156016)","http://support.microsoft.com/kb/3156016","","Security Updates Windows 7"
"MS16-072","MS16-072","3159398","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3159398)","http://support.microsoft.com/kb/3159398","","Security Updates Windows 7"
"MS16-056","MS16-056","3155178","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3155178)","http://support.microsoft.com/kb/3155178","","Security Updates Windows 7"
"4015546","","4015546","False","4","Critical","April; 2017 Security Only Quality Update for Windows 7 for x64-based Systems (KB4015546)","http://support.microsoft.com/kb/4015546","","Security Updates Windows 7"
"4041083","","4041083","False","3","Important","2017-09 Security and Quality Rollup for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7 on Windows 7 and Server 2008 R2 for x64 (KB4041083)","http://support.microsoft.com/kb/4041083","","Security Updates Windows 7"
"4034679","","4034679","False","4","Critical","2017-08 Security Only Quality Update for Windows 7 for x64-based Systems (KB4034679)","http://support.microsoft.com/help/4034679","","Security Updates Windows 7"
"4038779","","4038779","False","4","Critical","2017-09 Security Only Quality Update for Windows 7 for x64-based Systems (KB4038779)","http://support.microsoft.com/help/4038779","","Security Updates Windows 7"
"4041090","","4041090","False","3","Important","2017-09 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7 on Windows 7 and Server 2008 R2 for x64 (KB4041090)","http://support.microsoft.com/kb/4041090","","Security Updates Windows 7"
"4025337","","4025337","False","4","Critical","2017-07 Security Only Quality Update for Windows 7 for x64-based Systems (KB4025337)","http://support.microsoft.com/help/4025337","","Security Updates Windows 7"
"4019263","","4019263","False","4","Critical","2017-05 Security Only Quality Update for Windows 7 for x64-based Systems (KB4019263)","http://support.microsoft.com/help/4019263","","Security Updates Windows 7"
"4014985","","4014985","False","4","Critical","April; 2017 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2 on Windows 7 and Windows Server 2008 R2 for x64 (KB4014985)","http://support.microsoft.com/kb/4014985","","Security Updates Windows 7"
"4022722","","4022722","False","4","Critical","2017-06 Security Only Quality Update for Windows 7 for x64-based Systems (KB4022722)","http://support.microsoft.com/help/4022722","","Security Updates Windows 7"
"4019108","","4019108","False","3","Important","May; 2017 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2 on Windows 7 and Windows Server 2008 R2 for x64 (KB4019108)","http://support.microsoft.com/kb/4019108","","Security Updates Windows 7"
"MS15-133","MS15-133","3109103","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3109103)","http://support.microsoft.com/kb/3109103","","Security Updates Windows 7"
"MS15-118","MS15-118","3097989","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB3097989)","http://support.microsoft.com/kb/3097989","","Security Updates Windows 7"
"MS16-007","MS16-007","3108664","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3108664)","http://support.microsoft.com/kb/3108664","","Security Updates Windows 7"
"MS15-132","MS15-132","3108371","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3108371)","http://support.microsoft.com/kb/3108371","","Security Updates Windows 7"
"MS15-119","MS15-119","3092601","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3092601)","http://support.microsoft.com/kb/3092601","","Security Updates Windows 7"
"MS15-080","MS15-080","3072305","False","4","Critical","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 SP1 and Windows Server 2008 R2 SP1 for x64 (KB3072305)","http://support.microsoft.com/kb/3072305","","Security Updates Windows 7"
"MS15-097","MS15-097","3086255","False","0",,"Security Update for Windows 7 for x64-based Systems (KB3086255)","http://support.microsoft.com/kb/3086255","","Security Updates Windows 7"
"MS15-117","MS15-117","3101722","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3101722)","http://support.microsoft.com/kb/3101722","","Security Updates Windows 7"
"MS15-109","MS15-109","3093513","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3093513)","http://support.microsoft.com/kb/3093513","","Security Updates Windows 7"
"MS16-007","MS16-007","3109560","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3109560)","http://support.microsoft.com/kb/3109560","","Security Updates Windows 7"
"MS16-027","MS16-027","3138910","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3138910)","http://support.microsoft.com/kb/3138910","","Security Updates Windows 7"
"MS16-019","MS16-019","3127220","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64 (KB3127220)","http://support.microsoft.com/kb/3127220","","Security Updates Windows 7"
"MS16-032","MS16-032","3139914","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3139914)","http://support.microsoft.com/kb/3139914","","Security Updates Windows 7"
"MS16-033","MS16-033","3139398","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3139398)","http://support.microsoft.com/kb/3139398","","Security Updates Windows 7"
"MS16-014","MS16-014","3126587","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3126587)","http://support.microsoft.com/kb/3126587","","Security Updates Windows 7"
"MS16-001","MS16-001","3124275","False","4","Critical","Cumulative Security Update for Internet Explorer 8 for Windows 7 for x64-based Systems (KB3124275)","http://support.microsoft.com/kb/3124275","","Security Updates Windows 7"
"MS16-007","MS16-007","3110329","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3110329)","http://support.microsoft.com/kb/3110329","","Security Updates Windows 7"
"MS16-013","MS16-013","3115858","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3115858)","http://support.microsoft.com/kb/3115858","","Security Updates Windows 7"
"MS16-019","MS16-019","3122648","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64 (KB3122648)","http://support.microsoft.com/kb/3122648","","Security Updates Windows 7"
"4041678","","4041678","False","4","Critical","2017-10 Security Only Quality Update for Windows 7 for x64-based Systems (KB4041678)","http://support.microsoft.com/help/4041678","","Security Updates Windows 7"
"4498961","","4498961","False","3","Important","2019-05 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7; 4.7.1; 4.7.2; 4.8 for Windows 7 and Server 2008 R2 for x64 (KB4498961)","http://support.microsoft.com/kb/4498961","","Security Updates Windows 7"
"4493448","","4493448","False","4","Critical","2019-04 Security Only Quality Update for Windows 7 for x64-based Systems (KB4493448)","http://support.microsoft.com/help/4493448","","Security Updates Windows 7"
"4499175","","4499175","False","4","Critical","2019-05 Security Only Quality Update for Windows 7 for x64-based Systems (KB4499175)","http://support.microsoft.com/help/4499175","","Security Updates Windows 7"
"4501226","","4501226","False","0",,"2019-05 Update for Windows 7 for x64-based Systems (KB4501226)","http://support.microsoft.com/help/4501226","","Update Rollups Windows 7"
"4490128","","4490128","False","0",,"2019-03 Update for Windows 7 for x64-based Systems (KB4490128)","http://support.microsoft.com/help/4490128","","Update Rollups Windows 7"
"4489885","","4489885","False","4","Critical","2019-03 Security Only Quality Update for Windows 7 for x64-based Systems (KB4489885)","http://support.microsoft.com/help/4489885","","Security Updates Windows 7"
"4486459","","4486459","False","0",,"2019-02 Update for Windows 7 for x64-based Systems (KB4486459)","http://support.microsoft.com/help/4486459","","Update Rollups Windows 7"
"4490628","","4490628","False","4","Critical","2019-03 Servicing Stack Update for Windows 7 for x64-based Systems (KB4490628)","http://support.microsoft.com/help/4490628","","Security Updates Windows 7"
"4474419","","4474419","False","4","Critical","2019-03 Security Update for Windows 7 for x64-based Systems (KB4474419)","http://support.microsoft.com/help/4474419","","Security Updates Windows 7"
"4503269","","4503269","False","4","Critical","2019-06 Security Only Quality Update for Windows 7 for x64-based Systems (KB4503269)","http://support.microsoft.com/help/4503269","","Security Updates Windows 7"
"4519108","","4519108","False","0",,"2019-10 Update for Windows 7 for x64-based Systems (KB4519108)","https://support.microsoft.com/help/4519108","","Update Rollups Windows 7"
"4524157","","4524157","False","4","Critical","2019-10 Security Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4524157)","https://support.microsoft.com/help/4524157","","Security Updates Windows 7"
"4531786","","4531786","False","4","Critical","2019-12 Servicing Stack Update for Windows 7 for x64-based Systems (KB4531786)","https://support.microsoft.com/help/4531786","","Security Updates Windows 7"
